ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,AGEB,MZA,POBTOT,TVIVHAB,VIVPAR_HAB,Mun,Loc,AGEB,MZA
31,Yucatán,79,Tekax,0,0,0,45062,11545,11445,079,0000,0000,0000
31,Yucatán,79,Tekax,1,0,0,28461,7283,7209,079,0001,0000,0000
31,Yucatán,79,Tekax,1,25,0,3092,802,788,079,0001,0025,0000
31,Yucatán,79,Tekax,1,25,1,60,19,16,079,0001,0025,0001
31,Yucatán,79,Tekax,1,25,2,83,22,20,079,0001,0025,0002
31,Yucatán,79,Tekax,1,25,3,85,21,21,079,0001,0025,0003
31,Yucatán,79,Tekax,1,25,4,78,24,23,079,0001,0025,0004
31,Yucatán,79,Tekax,1,25,5,64,17,17,079,0001,0025,0005
31,Yucatán,79,Tekax,1,25,6,55,14,14,079,0001,0025,0006
31,Yucatán,79,Tekax,1,25,7,59,14,14,079,0001,0025,0007
31,Yucatán,79,Tekax,1,25,8,79,24,24,079,0001,0025,0008
31,Yucatán,79,Tekax,1,25,9,44,12,12,079,0001,0025,0009
31,Yucatán,79,Tekax,1,25,10,78,18,18,079,0001,0025,0010
31,Yucatán,79,Tekax,1,25,11,73,19,19,079,0001,0025,0011
31,Yucatán,79,Tekax,1,25,12,84,24,24,079,0001,0025,0012
31,Yucatán,79,Tekax,1,25,13,98,22,21,079,0001,0025,0013
31,Yucatán,79,Tekax,1,25,14,76,18,18,079,0001,0025,0014
31,Yucatán,79,Tekax,1,25,15,73,19,19,079,0001,0025,0015
31,Yucatán,79,Tekax,1,25,16,33,9,9,079,0001,0025,0016
31,Yucatán,79,Tekax,1,25,17,62,17,17,079,0001,0025,0017
31,Yucatán,79,Tekax,1,25,18,64,18,18,079,0001,0025,0018
31,Yucatán,79,Tekax,1,25,19,74,21,21,079,0001,0025,0019
31,Yucatán,79,Tekax,1,25,20,66,23,23,079,0001,0025,0020
31,Yucatán,79,Tekax,1,25,21,42,13,13,079,0001,0025,0021
31,Yucatán,79,Tekax,1,25,22,61,17,16,079,0001,0025,0022
31,Yucatán,79,Tekax,1,25,23,61,13,13,079,0001,0025,0023
31,Yucatán,79,Tekax,1,25,24,42,10,9,079,0001,0025,0024
31,Yucatán,79,Tekax,1,25,25,71,15,15,079,0001,0025,0025
31,Yucatán,79,Tekax,1,25,26,103,24,24,079,0001,0025,0026
31,Yucatán,79,Tekax,1,25,27,93,21,20,079,0001,0025,0027
31,Yucatán,79,Tekax,1,25,28,57,12,12,079,0001,0025,0028
31,Yucatán,79,Tekax,1,25,29,45,12,12,079,0001,0025,0029
31,Yucatán,79,Tekax,1,25,30,35,10,10,079,0001,0025,0030
31,Yucatán,79,Tekax,1,25,31,61,16,16,079,0001,0025,0031
31,Yucatán,79,Tekax,1,25,32,70,20,20,079,0001,0025,0032
